date_key,full_date,day_of_week,month_name,quarter,is_weekend
2936,2024-12-29 17:09:26,Sunday,March,Q2,True
153362,2024-09-28 18:47:15,Saturday,January,Q2,False
1339725,2024-07-02 10:35:24,Friday,February,Q1,True
423163,2025-11-03 12:25:20,Thursday,February,Q1,True
821433,2025-03-22 11:33:19,Friday,February,Q1,False
175225,2025-11-14 13:22:06,Thursday,March,Q2,True
1643352,2024-04-09 12:16:48,Sunday,January,Q2,True
1463433,2024-03-18 07:28:16,Thursday,March,Q1,False
1644199,2024-06-05 09:31:40,Thursday,May,Q3,True
1720501,2025-07-16 14:20:55,Thursday,December,Q1,True
1005321,2024-05-17 11:52:35,Tuesday,August,Q3,True
168739,2025-11-02 08:42:55,Tuesday,September,Q3,True
1131243,2025-10-27 14:30:10,Thursday,December,Q2,False
429385,2025-10-12 17:19:54,Saturday,May,Q2,False
338480,2025-08-06 10:10:00,Sunday,October,Q1,True
1600214,2024-10-15 15:58:40,Tuesday,November,Q2,False
367873,2024-04-24 06:28:27,Thursday,February,Q4,True
213804,2024-11-08 07:30:41,Monday,October,Q4,False
1997073,2024-10-18 15:34:09,Thursday,March,Q2,False
768393,2024-08-01 13:19:50,Friday,January,Q3,False
1412484,2024-05-27 12:58:06,Sunday,March,Q2,True
1936372,2025-05-01 13:07:20,Thursday,March,Q3,True
879052,2024-12-06 11:33:08,Tuesday,September,Q4,False
1678676,2025-12-08 23:02:31,Sunday,June,Q2,True
91358,2025-09-04 15:19:58,Tuesday,October,Q4,False
298262,2024-01-23 22:17:20,Saturday,November,Q3,False
691965,2024-08-11 13:10:07,Thursday,February,Q1,False
1914271,2025-08-06 13:57:24,Tuesday,December,Q2,False
839855,2024-08-07 16:55:41,Saturday,March,Q2,True
504716,2024-12-19 06:00:26,Sunday,September,Q4,True
1050680,2025-02-18 11:13:54,Tuesday,December,Q3,True
928492,2024-03-16 05:59:06,Friday,July,Q4,True
1361293,2024-08-07 20:51:51,Thursday,August,Q1,True
1590145,2025-10-04 16:32:11,Saturday,March,Q3,True
