store_key,store_name,region,store_type
1708860,Silver Capital Inc,West,Flagship
1941627,True Supply Group,South,Flagship
481685,Summit Cloud Holdings,South,Outlet
740545,Cedar Bio Holdings,East,Outlet
517079,Prime Bio Holdings,East,Outlet
148029,Silver Capital Inc,North,Standard
1006546,Ever Works Holdings,North,Flagship
376185,Cedar Foods Solutions,East,Flagship
1101857,Prime Health Inc,South,Outlet
352900,North Analytics Group,West,Outlet
621805,North Foods Partners,East,Standard
1902535,Silver Logic Collective,East,Standard
1490265,Bright Foods Group,East,Standard
709137,Apex Logic Partners,West,Standard
1285520,Blue Dynamics Holdings,East,Standard
866773,Atlas Labs Partners,West,Outlet
403604,Atlas Networks Solutions,South,Outlet
97416,North Works Solutions,West,Outlet
1438063,True Dynamics Partners,North,Standard
810646,Summit Health Group,East,Flagship
367321,Apex Works Solutions,South,Standard
461762,Silver Health Inc,East,Outlet
1620827,Bright Bio Inc,East,Outlet
73851,True Systems Group,West,Standard
1199261,Nova Labs Partners,West,Standard
270057,Quantum Retail Holdings,East,Flagship
172884,Ever Systems Solutions,South,Standard
1936047,Silver Foods Collective,North,Flagship
994493,North Networks Solutions,East,Flagship
1593782,Vertex Works Co,West,Outlet
337488,Silver Cloud Inc,North,Flagship
1674329,Nova Supply Solutions,West,Standard
350593,Apex Labs Partners,East,Standard
1154336,Atlas Analytics Co,East,Outlet
126408,Prime Supply Partners,North,Outlet
1058090,Ever Systems Holdings,West,Flagship
940944,Cedar Works Partners,East,Flagship
905509,Modern Systems Solutions,East,Standard
1771932,Modern Retail Inc,East,Flagship
1069986,Summit Works Collective,South,Standard
