sale_id,date_key,product_key,customer_key,store_key,sold_at,quantity,unit_price,discount_pct,revenue,category
1811440,311682,1132588,1668128,481685,2024-01-31 23:59:58.011447844,7,158.0,0.35,72.1,Apparel
229670,619708,1443361,1919613,337488,2024-01-31 23:59:58.942606420,1,25.99,0.35,76.75,Electronics
792387,996755,1210836,94618,1941627,2024-01-31 23:59:58.116078058,1,14.99,0.35,32.67,Electronics
674514,1910645,1816843,463700,97416,2024-01-31 23:59:58.510988203,1,16.99,0.35,31.95,Electronics
912213,288332,1588564,370462,709137,2024-01-31 23:59:58.178259465,1,110.0,0.35,26.95,Electronics
1844000,195626,796313,1650697,905509,2024-01-31 23:59:58.035191049,1,122.49,0.35,125.62,Electronics
736811,420798,1197043,600533,1006546,2024-01-31 23:59:58.865132434,1,37.99,0.35,106.4,Home
1795704,1740311,1023444,1907635,1620827,2024-01-31 23:59:58.840520819,3,16.99,0.35,17.99,Grocery
1248876,1409951,153567,1236627,1902535,2024-01-31 23:59:58.723513321,8,5.0,0.35,9.66,Electronics
906740,319391,1422563,714725,1708860,2024-01-31 23:59:58.746460101,2,22.99,0.35,28.62,Home
197491,1119328,107086,1092808,740545,2024-01-31 23:59:58.913908187,1,30.99,0.35,33.7,Home
1010296,1660474,323906,1891134,376185,2024-01-31 23:59:58.799168783,3,13.49,0.35,165.59,Grocery
1504821,1600214,1716283,817540,1674329,2024-01-31 23:59:58.599742136,1,14.0,0.35,88.68,Electronics
1819330,821433,1172481,299957,1941627,2024-01-31 23:59:58.977019479,1,6.99,0.35,95.56,Grocery
497301,727383,555423,940515,1771932,2024-01-31 23:59:58.273258330,2,21.95,0.35,45.13,Home
1706423,327493,1145750,295030,994493,2024-01-31 23:59:58.354100851,1,50.99,0.35,244.26,Home
1157585,915082,1415258,877308,905509,2024-01-31 23:59:58.953025283,1,42.99,0.35,213.37,Grocery
162352,937095,1539785,948581,1674329,2024-01-31 23:59:58.765476472,2,20.0,0.35,199.36,Home
1818564,49,1424950,1588326,172884,2024-01-31 23:59:58.454195771,3,76.99,0.35,10.11,Apparel
1162258,673228,1040071,493400,148029,2024-01-31 23:59:58.500196640,8,514.99,0.35,81.35,Electronics
1613545,1253815,744552,147733,1771932,2024-01-31 23:59:58.931867802,3,21.49,0.35,53.38,Electronics
945638,1529634,107086,47883,481685,2024-01-31 23:59:58.168761532,1,32.0,0.35,34.51,Home
240689,1220991,454946,680893,1058090,2024-01-31 23:59:58.263078541,1,15.99,0.35,41.33,Electronics
1038241,805425,1475277,34342,148029,2024-01-31 23:59:58.522717702,1,60.99,0.35,110.2,Apparel
1896309,651949,363838,1593440,148029,2024-01-31 23:59:58.803044632,6,46.0,0.35,49.31,Grocery
842829,703285,1630347,820013,1674329,2024-01-31 23:59:58.264099328,1,62.99,0.35,45.88,Electronics
1195294,1698369,535798,1090085,1285520,2024-01-31 23:59:58.631336514,1,41.99,0.35,108.24,Electronics
94914,1417838,1714471,1345461,270057,2024-01-31 23:59:58.636437566,3,12.99,0.35,10.68,Home
194283,865897,200265,1996295,905509,2024-01-31 23:59:58.707868516,1,9.99,0.35,41.76,Electronics
1188815,1946249,1334322,1040476,337488,2024-01-31 23:59:58.979326180,1,24.99,0.35,62.72,Apparel
612170,120916,1203022,1516875,994493,2024-01-31 23:59:58.161767180,5,120.99,0.35,104.41,Grocery
838155,218253,849107,1150935,350593,2024-01-31 23:59:58.532811382,2,49.0,0.35,102.66,Home
642044,1006597,64040,1843999,1006546,2024-01-31 23:59:58.004017088,2,202.99,0.35,88.02,Apparel
777849,744877,546681,110927,1708860,2024-01-31 23:59:58.833530481,1,117.49,0.35,71.19,Electronics
600296,883286,610475,1139558,740545,2024-01-31 23:59:58.865262840,1,44.49,0.35,21.02,Electronics
1950280,1968954,59573,249168,1941627,2024-01-31 23:59:58.209637382,4,76.99,0.35,98.72,Electronics
1442957,1842056,819029,1011007,1438063,2024-01-31 23:59:58.242514282,1,10.99,0.35,3.01,Home
1841182,696360,1870340,1849933,905509,2024-01-31 23:59:58.793796540,6,20.99,0.35,65.62,Electronics
1817217,80732,991787,1390100,517079,2024-01-31 23:59:58.618590288,1,13.95,0.35,52.76,Apparel
282053,976626,270942,1329554,1771932,2024-01-31 23:59:58.012535326,1,9.47,0.35,110.92,Home
742282,1206403,1334322,56551,940944,2024-01-31 23:59:58.671399060,1,177.99,0.35,30.57,Electronics
1438272,53053,1197043,821941,905509,2024-01-31 23:59:58.912782684,8,19.99,0.35,53.89,Electronics
1493654,827111,107109,163725,126408,2024-01-31 23:59:58.074344488,1,95.99,0.35,86.76,Apparel
963161,4445,1539785,723173,866773,2024-01-31 23:59:58.261201865,8,23.99,0.35,57.27,Home
196807,291616,254319,725006,1154336,2024-01-31 23:59:58.143457522,1,21.95,0.35,56.19,Electronics
1314024,1642993,1378571,1197955,1199261,2024-01-31 23:59:58.052094253,1,88.0,0.35,5.41,Apparel
31611,662335,804833,1562254,621805,2024-01-31 23:59:58.706223655,1,88.95,0.35,41.74,Apparel
17493,1377391,1832671,1144778,148029,2024-01-31 23:59:58.779369795,2,29.79,0.35,29.99,Home
1410866,36706,1488068,594659,1438063,2024-01-31 23:59:58.738884106,3,12.95,0.35,30.12,Grocery
1941601,616417,1064709,199093,367321,2024-01-31 23:59:58.671484653,3,42.96,0.35,25.75,Apparel
1807917,1437531,943916,1964011,740545,2024-01-02 20:35:49.310054437,1,8.99,0.35,81.51,Grocery
1680870,426745,98845,135359,621805,2024-01-31 23:59:58.706086897,1,59.99,0.35,63.05,Electronics
1229336,127446,263064,1180702,376185,2024-01-31 23:59:58.472459805,1,5.0,0.35,92.96,Home
219562,617918,284542,9300,621805,2024-01-21 07:53:12.844929464,1,12.49,0.35,22.18,Home
1623942,1034334,824107,352019,621805,2024-01-31 23:59:58.826940608,2,25.99,0.35,85.41,Electronics
864818,1736757,1187377,1259355,270057,2024-01-31 23:59:58.717900313,2,129.99,0.35,92.75,Apparel
694313,808819,90921,1838080,866773,2024-01-31 23:59:58.822360001,1,83.99,0.35,71.19,Apparel
382409,1581236,778209,509194,126408,2024-01-30 15:51:58.794565315,2,7.49,0.35,44.06,Home
1545881,936943,1643659,1211625,940944,2024-01-31 23:59:58.541372855,1,27.0,0.35,18.4,Home
481951,1418673,1866009,1544499,148029,2024-01-31 23:59:58.835247378,1,38.99,0.35,51.15,Apparel
482276,1682026,215036,1899958,1101857,2024-01-31 23:59:58.957353328,1,109.0,0.35,157.64,Electronics
1653651,89434,1931582,493400,1069986,2024-01-31 23:59:58.587648901,1,72.99,0.35,55.51,Home
710571,132013,1958937,1103938,1674329,2024-01-31 23:59:58.856967642,1,15.99,0.35,73.01,Apparel
1413414,21861,1965766,103188,1199261,2024-01-31 23:59:58.508693693,3,200.49,0.35,31.07,Apparel
230550,1947178,200265,1960637,866773,2024-01-31 23:59:58.538227054,8,5.0,0.35,35.47,Apparel
166719,945005,3582,1608434,810646,2024-01-31 23:59:58.469299086,2,18.95,0.35,53.74,Grocery
1558834,958725,1607415,1185268,1006546,2024-01-31 23:59:58.107460820,1,35.99,0.35,93.34,Apparel
1349965,866321,884953,423700,350593,2024-01-12 17:30:05.949112397,1,25.99,0.35,18.05,Grocery
13849,1154970,1278967,958563,1490265,2024-01-31 23:59:58.026925450,3,40.31,0.35,32.32,Grocery
1099761,1238347,7620,117263,1771932,2024-01-31 23:59:58.418114198,1,84.49,0.35,60.17,Electronics
77256,127446,708945,1525992,517079,2024-01-31 23:59:58.327914491,1,35.99,0.35,41.51,Electronics
873732,212573,1550192,1694440,740545,2024-01-31 23:59:58.447933982,2,43.0,0.35,71.26,Apparel
1377861,385055,943916,1708338,403604,2024-01-31 23:59:58.391922421,1,5.0,0.35,171.12,Electronics
961953,386309,796313,1949879,1101857,2024-01-31 23:59:58.116229640,8,8.95,0.35,24.22,Apparel
1123045,1697923,750370,1290278,1438063,2024-01-31 23:59:58.667539621,5,28.99,0.35,11.07,Electronics
385731,1946249,1866600,814528,709137,2024-01-31 23:59:58.927134806,1,221.34,0.35,28.46,Home
1940684,635329,142778,210223,1438063,2024-01-31 23:59:58.901834897,8,145.99,0.35,9.37,Electronics
381669,1019258,884902,1048622,1058090,2024-01-31 23:59:58.479561999,1,126.99,0.35,105.89,Electronics
1663261,996755,528381,1185268,270057,2024-01-31 23:59:58.332453294,1,68.99,0.35,73.97,Grocery
898386,1304196,1875047,1240084,1593782,2024-01-31 23:59:58.090878236,1,53.99,0.35,84.27,Electronics
445292,1483769,1500950,314499,621805,2024-01-31 23:59:58.375133434,1,148.0,0.35,46.87,Electronics
1916770,1034334,1752113,1025498,337488,2024-01-31 23:59:58.631898729,4,39.95,0.35,91.75,Apparel
1696380,1010979,412779,1892562,1936047,2024-01-31 23:59:58.758533239,4,174.47,0.35,45.1,Home
1724391,1099629,1181475,496403,621805,2024-01-31 23:59:58.987935818,1,33.99,0.35,28.66,Apparel
1122826,1427970,1866600,1795611,940944,2024-01-31 23:59:58.297275219,1,36.99,0.35,14.36,Grocery
457025,1736757,1866009,1300843,621805,2024-01-31 23:59:58.921205808,1,221.99,0.35,44.01,Home
688656,1910645,440132,1859421,621805,2024-01-31 23:59:58.462475008,1,8.84,0.35,26.23,Home
800726,135480,1500950,1157880,709137,2024-01-31 23:59:58.165139579,1,18.95,0.35,30.63,Home
762505,641209,556121,1686170,73851,2024-01-31 23:59:58.492750048,2,5.0,0.35,99.04,Electronics
1836419,1118358,1262802,1500279,97416,2024-01-31 23:59:58.294605835,3,93.65,0.35,118.12,Electronics
1566443,1946249,821717,1493426,1006546,2024-01-31 23:59:58.606359217,4,16.99,0.35,109.59,Electronics
54501,866321,1723577,626875,1620827,2024-01-11 16:48:12.426760844,1,160.99,0.35,42.34,Electronics
897951,1116777,1522268,657041,126408,2024-01-31 23:59:58.499118176,1,177.49,0.35,52.7,Home
627863,1491729,163186,1001886,517079,2024-01-31 23:59:58.346470434,8,43.0,0.35,75.39,Home
248540,1317855,94476,1100119,97416,2024-01-31 23:59:58.578787150,1,46.95,0.35,36.51,Electronics
